Country Name,Country ISO3,Year,Indicator Name,Indicator Code,Value
#country+name,#country+code,#date+year,#indicator+name,#indicator+code,#indicator+value+num
Japan,JPN,2004,Agricultural land (sq. km),AG.LND.AGRI.K2,47140
Japan,JPN,2003,Agricultural land (sq. km),AG.LND.AGRI.K2,47360
Japan,JPN,2002,Agricultural land (sq. km),AG.LND.AGRI.K2,47630
Japan,JPN,2001,Agricultural land (sq. km),AG.LND.AGRI.K2,47930
Japan,JPN,2000,Agricultural land (sq. km),AG.LND.AGRI.K2,52580
Japan,JPN,1999,Agricultural land (sq. km),AG.LND.AGRI.K2,52710
Japan,JPN,1998,Agricultural land (sq. km),AG.LND.AGRI.K2,53100
Japan,JPN,1997,Agricultural land (sq. km),AG.LND.AGRI.K2,53540
Japan,JPN,1996,Agricultural land (sq. km),AG.LND.AGRI.K2,53990
Japan,JPN,1995,Agricultural land (sq. km),AG.LND.AGRI.K2,54430
Japan,JPN,1994,Agricultural land (sq. km),AG.LND.AGRI.K2,55330
Japan,JPN,1993,Agricultural land (sq. km),AG.LND.AGRI.K2,55740
Japan,JPN,1992,Agricultural land (sq. km),AG.LND.AGRI.K2,56150
Japan,JPN,1991,Agricultural land (sq. km),AG.LND.AGRI.K2,56540
Japan,JPN,1990,Agricultural land (sq. km),AG.LND.AGRI.K2,56930
Japan,JPN,1989,Agricultural land (sq. km),AG.LND.AGRI.K2,57290
Japan,JPN,1988,Agricultural land (sq. km),AG.LND.AGRI.K2,58170
Japan,JPN,1987,Agricultural land (sq. km),AG.LND.AGRI.K2,58400
Japan,JPN,1986,Agricultural land (sq. km),AG.LND.AGRI.K2,58580
Japan,JPN,1985,Agricultural land (sq. km),AG.LND.AGRI.K2,58790
Japan,JPN,1984,Agricultural land (sq. km),AG.LND.AGRI.K2,59960
Japan,JPN,1983,Agricultural land (sq. km),AG.LND.AGRI.K2,60110
Japan,JPN,1982,Agricultural land (sq. km),AG.LND.AGRI.K2,60260
Japan,JPN,1981,Agricultural land (sq. km),AG.LND.AGRI.K2,60420
Japan,JPN,1980,Agricultural land (sq. km),AG.LND.AGRI.K2,60610
Japan,JPN,1979,Agricultural land (sq. km),AG.LND.AGRI.K2,61740
Japan,JPN,1978,Agricultural land (sq. km),AG.LND.AGRI.K2,61940
Japan,JPN,1977,Agricultural land (sq. km),AG.LND.AGRI.K2,62150
Japan,JPN,1976,Agricultural land (sq. km),AG.LND.AGRI.K2,62360
Japan,JPN,1975,Agricultural land (sq. km),AG.LND.AGRI.K2,62730
Japan,JPN,1974,Agricultural land (sq. km),AG.LND.AGRI.K2,64150
Japan,JPN,1973,Agricultural land (sq. km),AG.LND.AGRI.K2,64470
Japan,JPN,1972,Agricultural land (sq. km),AG.LND.AGRI.K2,64840
Japan,JPN,1971,Agricultural land (sq. km),AG.LND.AGRI.K2,65410
Japan,JPN,1970,Agricultural land (sq. km),AG.LND.AGRI.K2,66960
Japan,JPN,1969,Agricultural land (sq. km),AG.LND.AGRI.K2,66520
Japan,JPN,1968,Agricultural land (sq. km),AG.LND.AGRI.K2,67970
Japan,JPN,1967,Agricultural land (sq. km),AG.LND.AGRI.K2,68380
Japan,JPN,1966,Agricultural land (sq. km),AG.LND.AGRI.K2,68960
Japan,JPN,1965,Agricultural land (sq. km),AG.LND.AGRI.K2,70040
Japan,JPN,1964,Agricultural land (sq. km),AG.LND.AGRI.K2,70300
Japan,JPN,1963,Agricultural land (sq. km),AG.LND.AGRI.K2,70200
Japan,JPN,1962,Agricultural land (sq. km),AG.LND.AGRI.K2,71200
Japan,JPN,1961,Agricultural land (sq. km),AG.LND.AGRI.K2,71100
Japan,JPN,2020,Agricultural land (% of land area),AG.LND.AGRI.ZS,11.9945130315501
Japan,JPN,2019,Agricultural land (% of land area),AG.LND.AGRI.ZS,12.0631001371742
Japan,JPN,2018,Agricultural land (% of land area),AG.LND.AGRI.ZS,12.1262002743484
